Attribute VB_Name = "Module1"
' TIPOS NPC
Obj9 = 511 - 100
Obj10 = 382 - 100
Obj11 = 488 - 100
Obj12 = 512 - 100
Obj13 = 656 - 100
Obj14 = 657 - 100
Obj15 = 694 - 100
Obj16 = 707 - 100
Obj17 = 510 - 100
Obj18 = 697 - 100

BackUp = 1
Domable = 0
info=Sastre de Ullathorpe

[NPC168]
Name = Sastre
Desc= Las túnicas que vendo te protegeran.
Head = 5
Body = 176
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 11
Inflacion = 0
Obj1 = 524 - 100
Obj2 = 639 - 100
Obj3 = 675 - 100
Obj4 = 588 - 100
Obj5 = 525 - 100
Obj6 = 526 - 100
Obj7 = 619 - 100
Obj8 = 520 - 100
Obj9 = 587 - 100
Obj10 = 609 - 100
Obj11 = 678 - 100
BackUp = 1
Domable = 0
info=Sastre de Ullathorpe (túnicas gnomo/enano)

[NPC169]
Name = Sastre
Desc= Las túnicas son las mayores defensas para los magos.
Head = 171
Body = 2
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 12
Inflacion = 0
Obj1 = 239 - 100
Obj2 = 381 - 100
Obj3 = 196 - 100
Obj4 = 238 - 100
Obj5 = 135 - 100
Obj6 = 357 - 100
Obj7 = 503 - 100
Obj8 = 519 - 100
Obj9 = 491 - 100
Obj10 = 772 - 100
Obj11 = 208 - 100
Obj12 = 626 - 100
BackUp = 1
Domable = 0
info=Sastre de Ullathorpe (túnicas humano/elfo/elfo oscuro)

[NPC13] 'NPC
Name=Director general de las tropas de Ullathorpe.
Desc= ¡Buen día jóven! Mi nombre es Thoren, y estoy a cargo de la dirección general de las tropas de Ullathorpe. Si deseas enlistarte, no dudes en visitar al Rey.
Head = 0
Body = 4
Heading = 3
Movement = 2
Attackable = 0
Comercia = 0
Domable = 0

[NPC14] 'NPC Pociones: 38, 709, 37, 708, 36, 39, 166.
Name = Hechizera
Desc=Las pociones que vendo han sido hechas por los mejores alquimistas de estas tierras.
Head = 0
Body = 34
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Habla = 200
NROITEMS = 5
TipoItems = 11
Inflacion = 0
Obj1 = 710 - 100
Obj2 = 711 - 100
Obj3 = 36 - 100
Obj4 = 39 - 100
Obj5 = 166 - 100
BackUp = 1
Domable = 0
info=Vendedora de pociones de Ullathorpe

[NPC15] 'NPC Bebida: 43, 160, 161.
Name = Tabernero
Desc=¡Bienvenido a mi pequeña taberna!
Head = 0
Body = 33
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
NROITEMS = 4
Obj1 = 43 - 100
Obj2 = 160 - 100
Obj3 = 161 - 100
Obj4 = 27 - 100
BackUp = 1
Domable = 0
info=Vendedor de bebidas de Ullathorpe

[NPC24] 'NPC
Name = Banquero
Desc=Te damos la bienvenida a nuestra cadena de bancos, la más importante sin lugar a dudas en estas tierras. Deposita tu dinero y pertenencias con total confianza en nuestra bóveda.
Head = 0
Body = 37
Heading = 3
Movement = 1
NpcType = 4
Domable = 0
info=Banquero de Ullathorpe

[NPC33] ' CARPINTERO Carpintería: 127, 198, 478, 479, 480.
Name = Leñador
Info=Carpintero Ulla
Desc=Mi nombre es forcir y vendo arcos y flechas a muy buenos precios.
Head = 4
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 14
NROITEMS = 8
Obj1 = 138 - 100
Obj2 = 478 - 100
Obj3 = 596 - 100
Obj4 = 479 - 100
obj5 = 600 - 100
obj6 = 552 - 100
obj7 = 474 - 100
obj8 = 597 - 100
BackUp = 1
Domable = 0
info=Carpintero de Ullathorpe

[NPC34] ' Vendedor de propiedades-ULLATHORPE
Name=Vendedor de propiedades.
Desc=Hoy en día tener una propiedad en nuestra zona es un verdadero ícono de poder. Compra una y te aseguro tu nombré se oirá en nuestras tierras.
Head = 4
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 9
NROITEMS = 4
Obj1 = 54 - 1
Obj2 = 65 - 1
Obj3 = 69 - 1
Obj4 = 73 - 1
InvReSpawn = 1
BackUp = 1
Domable = 0
info = Deshabilitado

[NPC46] 'NPC Hechizos: 202, 203, 363, 197.
Name = Mago
Info=Mago de Ulla
Desc=Bienvenido a mi pequeño negocio, tengo algunos hechizos que te podrían interesar.
Head = 1
Body = 140
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 23
Obj1 = 537 - 100
Obj2 = 396 - 100
Obj3 = 470 - 100
Obj4 = 829 - 100
Obj5 = 361 - 100
Obj6 = 531 - 100
Obj7 = 532 - 100
Obj8 = 530 - 100
Obj9 = 207 - 100
Obj10 = 752 - 100
Obj11 = 202 - 100
Obj12 = 758 - 100
Obj13 = 720 - 100
Obj14 = 719 - 100
Obj15 = 319 - 100
Obj16 = 750 - 100
Obj17 = 203 - 100
Obj18 = 201 - 100
Obj19 = 205 - 100
Obj20 = 203 - 100
Obj21 = 204 - 100
Obj22 = 197 - 100
Obj23 = 200 - 100
Domable = 0
info=Vendedor de hechizos de Ullathorpe

[NPC200]
Name = Mago
Info=Mago de Ulla
Desc=Tengo los sombreros y báculos que todo mago necesita.
Head = 2
Body = 140
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 4
Obj1 = 726 - 100
Obj2 = 728 - 100
Obj3 = 573 - 100
Obj4 = 572 - 100
Domable = 0
info=Vendedor de Gorros/Báculos de Ullathorpe

[NPC105] ' Rey de Ullathorpe
Name=Tanis, Rey de Ullathorpe
NpcType = 5
Faccion = 1
Desc=Mi nombre es Tanis, Rey de Ullathorpe, la ciudad ubicada en el corazón del continente. Si deseas unirte al ejército que combatirá a Lord Azhimur, escribe /ENLISTAR.
Head = 103
Body = 63
Heading = 3
Movement = 1
Attackable = 0
info=Rey de Ullathorpe

'************************************* NPCS ULLATHORPE ***************************************
'*********************************************************************************************


'************************************* NPCS NIX ***************************************
'*********************************************************************************************

[NPC35] ' Vendedor de propiedades-NIX
Name=Moraday.
Desc=¡Hola, forastero! Tenemos a nuestra disposición varios hogares y la mansión más grande jamás hecha.
Head = 4
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 9
NROITEMS = 10
Obj1 = 87 - 1
Obj2 = 91 - 1
Obj3 = 95 - 1
Obj4 = 99 - 1
Obj5 = 103 - 1
Obj6 = 107 - 1
Obj7 = 111 - 1
Obj8 = 115 - 1
Obj9 = 119 - 1
Obj10 = 140 - 1
InvReSpawn = 1
BackUp = 1
Domable = 0
info = Deshabilitado

[NPC36] 'NPC
Name = Banquero
Desc=¿Deseas depositar o extraer items?
Head = 0
Body = 37
Heading = 3
Movement = 1
NpcType = 4
Domable = 0
Info=Banquero de Nix

[NPC37] 'NPC Armas: 15, 2, 3, 579,
Name = Herrero
Desc=Nadie sabe con certeza qué pasará. Tan solo puedo recomendarte jóven, que lleves una de mis armas y te prepares.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 2
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 22
Obj1 = 15 - 100
Obj2 = 164 - 100
Obj3 = 9 - 100
Obj4 = 3 - 100
Obj5 = 126 - 100
Obj6 = 401 - 100
Obj7 = 123 - 100
Obj8 = 125 - 100
Obj9 = 159 - 100
Obj10 = 759 - 100
Obj11 = 399 - 100
Obj12 = 124 - 100
Obj13 = 129 - 100
Obj14 = 403 - 100
Obj15 = 589 - 100
Obj16 = 591 - 100
Obj17 = 592 - 100
Obj18 = 165 - 100
Obj19 = 365 - 100
Obj20 = 366 - 100
Obj21 = 367 - 100
Obj22 = 576 - 100
BackUp = 1
Domable = 0
info=Herrero de Nix (armas)


[NPC158]
Name = Herrero
Desc=Protege tu cuerpo si no quieres ser gravemente herido.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 1
Obj1 = 1
BackUp = 1
Domable = 0
info=Herrero de Nix (armaduras)

[NPC166]
Name = Herrero
Desc=Mis escudos y cascos son los mejores del continente.
Head = 0
Body = 16
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 1
Obj1 = 40
BackUp = 1
Domable = 0
info=Herrero de Nix (cascos y escudos)

[NPC39] 'NPC Sastre: 697, 31, 32, 35, 80, 170, 506, 505, 504, 240, 527. Túnicas: 135, 381, 238.
Name = Sastre
Desc=A base de fuertes pieles hacemos las ropas más acojedoras que podrás encontrar.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 1
Inflacion = 0
Obj
BackUp = 1
Domable = 0
info=Sastre de Nix

[NPC170]
Name = Sastre
Desc=Abrigate, estas túnicas te serán de gran ayuda.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 8
Inflacion = 0
Obj1 = 524 - 100
Obj2 = 639 - 100
Obj3 = 675 - 100
Obj4 = 588 - 100
Obj5 = 525 - 100
Obj6 = 526 - 100
Obj7 = 619 - 100
Obj8 = 520 - 100
BackUp = 1
Domable = 0
info=Sastre de Nix (túnicas gnomo/enano)

[NPC171]
Name = Sastre
Desc=Abrigate con las mejores túnicas que yo fabrico.
Head = 0
Body = 19
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 3
NROITEMS = 10
Inflacion = 0
Obj1 = 239 - 100
Obj2 = 381 - 100
Obj3 = 196 - 100
Obj4 = 238 - 100
Obj5 = 135 - 100
Obj6 = 357 - 100
Obj7 = 503 - 100
Obj8 = 519 - 100
Obj9 = 491 - 100
Obj10 = 772 - 100
BackUp = 1
Domable = 0
info=Sastre de Nix (túnicas humano/elfo/elfo oscuro)

[NPC40] 'NPC Comida: 1, 21, 22, 23, 158.
Name = Ben
Desc=Dicen que mis frutas son los manjares más delicisos de la zona ¡Pruébalos y compruebalo por tí mismo!
Head = 4
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 5
Obj1 = 1 - 100
Obj2 = 21 - 100
Obj3 = 22 - 100
Obj4 = 23 - 100
Obj5 = 158 - 100
BackUp = 1
Domable = 0
info=Vendedor de comida de Nix

[NPC41] 'NPC Pescador: 543, 138.
Name = Inigo
Desc=¡Bienvenido al gremio de pescadores de Nix! Compra una caña y pesca en el muelle sin importar si lo haces por oficio o entretenimiento.
Head = 2
Body = 3
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 2
Obj1 = 138 - 100
Obj2 = 543 - 100
BackUp = 1
Domable = 0
info=Pescador de Nix

[NPC44] ' CARPINTERO Carpintería: 127, 198, 478, 601, 480.
Name = Carpintero
Desc=¡Hola muchacho!, bienvenido a mi humilde carpinteria.
Head = 2
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 20
NROITEMS = 5
Obj1 = 127 - 100
Obj2 = 198 - 100
Obj3 = 478 - 100
Obj4 = 596 - 100
Obj5 = 479 - 100
BackUp = 1
info=Carpintero de Nix

[NPC47] 'NPC Hechizos: 200, 201, , 197.
Name = Mago
Desc=Bienvenido a mi pequeño negocio de magia, tengo algunos hechizos que te podrian interesar.
Head = 6
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 20
Obj1 = 204 - 100
Obj2 = 203 - 100
Obj3 = 205 - 100
Obj4 = 750 - 100
Obj5 = 318 - 100
Obj6 = 361 - 100
Obj7 = 531 - 100
Obj8 = 532 - 100
Obj9 = 530 - 100
Obj10 = 207 - 100
Obj11 = 537 - 100
Obj12 = 536 - 100
Obj13 = 538 - 100
Obj14 = 539 - 100
Obj15 = 202 - 100
Obj16 = 758 - 100
Obj17 = 720 - 100
Obj18 = 719 - 100
Obj19 = 752 - 100
Obj20 = 319 - 100
Domable = 0
info=Vendedor de hechizos de Nix

[NPC201]
Name = Mago
Info=Mago de Nix
Desc=Si eres mago, has venido al lugar correcto.
Head = 2
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 5
Obj1 = 726 - 100
Obj2 = 728 - 100
Obj3 = 705 - 100
Obj4 = 573 - 100
Obj5 = 572 - 100
Domable = 0
info=Vendedor de Gorros/Báculos Nix

[NPC48] ' Minero Minería: 187, 398, 753
Name = Minero
Desc=Tengo los mejores metales de todas las Tierras del Fénix.
Head = 2
Body = 1
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
TipoItems = 23
NROITEMS = 3
Obj1 = 187 - 100
Obj2 = 389 - 100
Obj3 = 753 - 100
BackUp = 1
Domable = 0
infio=Minero de Nix

[NPC114] 'NPC Bebida: 43, 160
Name = Tabernero
Desc=¡Bienvenido a mi taberna viajero! Si bien no es muy grande, el sabor de las bebidas te hará volver pronto.
Head = 0
Body = 33
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
NROITEMS = 2
Obj1 = 160 - 100
Obj2 = 43 - 100
BackUp = 1
Domable = 0
info=Vendedor de bebida de Nix

[NPC115] 'NPC Pociones: 38, 709, 37, 708, 36, 39, 166.
Name = Hechizera
Desc=Aunque no tengan el mejor sabor, estas pociones tendrán un efecto increíble en ti.
Head = 0
Body = 34
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
NROITEMS = 5
TipoItems = 11
Inflacion = 0
Obj1 = 708 - 100
Obj2 = 709 - 100
Obj3 = 36 - 100
Obj4 = 39 - 100
Obj5 = 166 - 100
BackUp = 1
Domable = 0
info=Vendedora de pociones de Nix

[NPC108] ' Rey de Nix
Name=Hameck, Rey de Nix
NpcType = 5
Faccion = 1
Desc=Bienvenido a Ciuark, la ciudad pesquera de este reino. Yo soy el Rey, Hameck. Si quieres unirte a la Alianza del Nabrían para luchar contra Lord thek, escribe /ENLISTAR.
Head = 2
Body = 63
Heading = 3
Movement = 1
Attackable = 0
info=Rey de Nix

[NPC139] 'NPC Alquimia: 698, 696 'FUERA DE USO
Name = Alquimista
Desc=
Head = 0
Body = 34
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
NROITEMS = 2
TipoItems = 11
Inflacion = 0
Obj1 = 698 - 100
Obj2 = 696 - 100
BackUp = 1
Domable = 0
info=Alquimista de Nix

'************************************* NPCS NIX **********************************************
'*********************************************************************************************

[NPC42] 'NPC
Name = Antogne
Info=Comida ND
Desc=¡Hola aventurero! tengo todo tipo de frutas.
Head = 4
Body = 3
Heading = 3
Movement = 2
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 1
NROITEMS = 10
Inflacion = 5
Obj1 = 1 - 100
Obj2 = 21 - 100
Obj3 = 22 - 100
Obj4 = 23 - 100
Obj5 = 24 - 100
Obj6 = 25 - 100
Obj7 = 26 - 100
Obj8 = 27 - 100
Obj9 = 28 - 100
Obj10 = 29 - 100
BackUp = 1
Domable = 0

[NPC43] 'NPC
Name = Sorks
Info=Bebida ND
Desc=¿Estas sediento?
Head = 0
Body = 33
Heading = 3
Movement = 2
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
Inflacion = 5
NROITEMS = 2
Obj1 = 42 - 100
Obj2 = 43 - 100
BackUp = 1
Domable = 0

[NPC45] 'NPC
Name = Espiritu
Desc=¡Huye de aqui mientras puedas!
Head = 500
Body = 8
Heading = 3
Movement = 2
Attackable = 0
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 0
Domable = 0

[NPC49] ' Guardia
Name=Guardia Imperial
Info=Movimiento random
NpcType = 2
Faccion = 1
Desc=Dare carcel a todos los criminales.
Head = 0
Body = 15
Heading = 3
Movement = 2
Attackable = 1
Comercia = 0
Hostile = 0
GiveEXP = 0
GiveGLD = 0
MinHP = 1000
MaxHP = 1000
MaxHIT = 250
MinHIT = 150
PosOrig = 0
DEF = 30
Alineacion = 0
Respawn = 0
NROITEMS = 0
GolpeExacto = 1
Domable = 0
'************************************* NPCS ISLA PIRATA **************************************
'*********************************************************************************************
[NPC145] 'NPC Bebida: 43, 160, 161, 42.
Name=Vendedor pirata de bebidas.
Desc=¡Hola! Bienvenido a esta fabulosa taberna pirata. Puede elegir algo para beber y comer.
Head = 301
Body = 221
Heading = 3
Movement = 2
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
Inflacion = 5
NROITEMS = 8
Obj1 = 42 - 100
Obj2 = 43 - 100
Obj3 = 160 - 100
Obj4 = 161 - 100
Obj5 = 139 - 100
Obj6 = 544 - 100
Obj7 = 545 - 100
Obj8 = 546 - 100
BackUp = 1
Domable = 0
info=Vendedor de bebidas pirata

[NPC146] 'NPC
Name=Pirata banquero.
Desc=Hola! Los piratas también necesitamos bancos, Disfrutalo!
Head = 301
Body = 221
Heading = 3
Movement = 1
NpcType = 4
Domable = 0
Info=Banquero pirata


[NPC147] ' Sacerdote
Name=Pirata sacerdote.
Info=Sacerdote pirata
NpcType = 1
Desc= Que Dios te bendiga y te libre de la maldad de Lord Azhimur, ahora largate!!!
Info=Sacerdote bueno
Head = 370
Body = 221
Heading = 3
Movement = 1
Attackable = 0
Comercia = 0
Hostile = 0
NROITEMS = 3
Obj1 = 1 - 7
Obj2 = 3 - 1
Obj3 = 2 - 1

[NPC207] ' Pirata raices
Name=Pirata raices
Info=Pirata raices
NpcType = 1
Desc=Me paso el día cortando raíces para el negocio de pociones.
Info=Sacerdote bueno
Head = 370
Body = 221
Heading = 3
Movement = 2
Attackable = 0
Comercia = 0
Hostile = 0

[NPC148] 'NPC Pociones: 38, 709, 37, 708, 36, 39, 166.
Name=Pirata hechizera
Desc=Esta isla fue descubierta hace poco y adoptada por algunos navegantes de la zona como su refugio antes de cada viaje.
Head = 301
Body = 221
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
NROITEMS = 5
TipoItems = 11
Inflacion = 0
Obj1 = 708 - 100
Obj2 = 709 - 100
Obj3 = 36 - 100
Obj4 = 39 - 100
Obj5 = 166 - 100
BackUp = 1
Domable = 0
info=Vendedora de pociones de la isla pirata.




'************************************* NPCS BANDERBILL ***************************************
'*********************************************************************************************
[NPC50] 'NPC Bebida: 43, 160, 161, 42.
Name=Bebida Bander
Desc=¡Hola! Bienvenido al "Mesón Hostigado", ¿Que deseas beber?
Head = 0
Body = 33
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
Hostile = 0
Alineacion = 0
Respawn = 0
TipoItems = 13
Inflacion = 5
NROITEMS = 4
Obj1 = 43 - 100
Obj2 = 42 - 100
Obj3 = 160 - 100
Obj4 = 161 - 100
BackUp = 1
Domable = 0
info=Vendedor de bebidas de bander

[NPC51] 'NPC Hechizos: 207, 208, 318, 537, 538, 536, 206, 530, 361, 531, 532.
Name = Mago
Desc=Bienvenido a mi pequeño negocio de magia, tengo algunos hechizos que te podrían interesar.
Head = 6
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
Respawn = 0
NROITEMS = 6
Obj1 = 318 - 100
Obj2 = 361 - 100
Obj3 = 530 - 100
Obj4 = 531 - 100
Obj5 = 532 - 100
Obj6 = 537 - 100
Domable = 0
info=Vendedor de hechizos de Banderbille

[NPC202]
Name = Mago
Info=Mago de Banderbille
Desc=Aquí encontrarás los gorros y báculos que necesitas.
Head = 2
Body = 50
Heading = 3
Movement = 1
Attackable = 0
Comercia = 1
TipoItems = 24
Hostile = 0
Alineacion = 0
